DBN,school_year,student_q20_mental_health,student_q20_mental_health_label,student_q22_felt_happy,student_q22_felt_happy_label
30Q230,2024-25,76.0,76.0% of students know where to get mental health support,78.0,78.0% of students felt happy at school
30Q235,2024-25,100.0,100.0% of students know where to get mental health support,88.0,88.0% of students felt happy at school
30Q258,2024-25,91.0,91.0% of students know where to get mental health support,75.0,75.0% of students felt happy at school
30Q286,2024-25,91.0,91.0% of students know where to get mental health support,70.0,70.0% of students felt happy at school
30Q291,2024-25,79.0,79.0% of students know where to get mental health support,76.0,76.0% of students felt happy at school
30Q300,2024-25,84.0,84.0% of students know where to get mental health support,84.0,84.0% of students felt happy at school
30Q301,2024-25,88.0,88.0% of students know where to get mental health support,72.0,72.0% of students felt happy at school
30Q367,2024-25,88.0,88.0% of students know where to get mental health support,80.0,80.0% of students felt happy at school
30Q417,2024-25,86.0,86.0% of students know where to get mental health support,76.0,76.0% of students felt happy at school
30Q429,2024-25,67.0,67.0% of students know where to get mental health support,69.0,69.0% of students felt happy at school
30Q445,2024-25,85.0,85.0% of students know where to get mental health support,67.0,67.0% of students felt happy at school
30Q450,2024-25,84.0,84.0% of students know where to get mental health support,77.0,77.0% of students felt happy at school
30Q501,2024-25,93.0,93.0% of students know where to get mental health support,79.0,79.0% of students felt happy at school
30Q502,2024-25,90.0,90.0% of students know where to get mental health support,71.0,71.0% of students felt happy at school
30Q555,2024-25,85.0,85.0% of students know where to get mental health support,82.0,82.0% of students felt happy at school
30Q575,2024-25,92.0,92.0% of students know where to get mental health support,90.0,90.0% of students felt happy at school
30Q580,2024-25,89.0,89.0% of students know where to get mental health support,65.0,65.0% of students felt happy at school
31R002,2024-25,80.0,80.0% of students know where to get mental health support,67.0,67.0% of students felt happy at school
31R007,2024-25,85.0,85.0% of students know where to get mental health support,81.0,81.0% of students felt happy at school
31R024,2024-25,77.0,77.0% of students know where to get mental health support,64.0,64.0% of students felt happy at school
31R027,2024-25,83.0,83.0% of students know where to get mental health support,68.0,68.0% of students felt happy at school
31R028,2024-25,80.0,80.0% of students know where to get mental health support,69.0,69.0% of students felt happy at school
31R034,2024-25,87.0,87.0% of students know where to get mental health support,80.0,80.0% of students felt happy at school
31R047,2024-25,90.0,90.0% of students know where to get mental health support,80.0,80.0% of students felt happy at school
31R048,2024-25,79.0,79.0% of students know where to get mental health support,71.0,71.0% of students felt happy at school
31R049,2024-25,85.0,85.0% of students know where to get mental health support,68.0,68.0% of students felt happy at school
31R051,2024-25,85.0,85.0% of students know where to get mental health support,75.0,75.0% of students felt happy at school
31R061,2024-25,65.0,65.0% of students know where to get mental health support,64.0,64.0% of students felt happy at school
31R063,2024-25,80.0,80.0% of students know where to get mental health support,67.0,67.0% of students felt happy at school
31R064,2024-25,95.0,95.0% of students know where to get mental health support,84.0,84.0% of students felt happy at school
31R072,2024-25,80.0,80.0% of students know where to get mental health support,69.0,69.0% of students felt happy at school
31R075,2024-25,82.0,82.0% of students know where to get mental health support,74.0,74.0% of students felt happy at school
31R080,2024-25,79.0,79.0% of students know where to get mental health support,74.0,74.0% of students felt happy at school
31R085,2024-25,84.0,84.0% of students know where to get mental health support,64.0,64.0% of students felt happy at school
31R440,2024-25,84.0,84.0% of students know where to get mental health support,73.0,73.0% of students felt happy at school
31R445,2024-25,88.0,88.0% of students know where to get mental health support,76.0,76.0% of students felt happy at school
31R450,2024-25,88.0,88.0% of students know where to get mental health support,73.0,73.0% of students felt happy at school
31R455,2024-25,86.0,86.0% of students know where to get mental health support,76.0,76.0% of students felt happy at school
31R460,2024-25,87.0,87.0% of students know where to get mental health support,74.0,74.0% of students felt happy at school
31R470,2024-25,97.0,97.0% of students know where to get mental health support,85.0,85.0% of students felt happy at school
31R600,2024-25,87.0,87.0% of students know where to get mental health support,87.0,87.0% of students felt happy at school
31R605,2024-25,93.0,93.0% of students know where to get mental health support,75.0,75.0% of students felt happy at school
31R861,2024-25,74.0,74.0% of students know where to get mental health support,66.0,66.0% of students felt happy at school
32K045,2024-25,85.0,85.0% of students know where to get mental health support,77.0,77.0% of students felt happy at school
32K162,2024-25,76.0,76.0% of students know where to get mental health support,71.0,71.0% of students felt happy at school
32K168,2024-25,88.0,88.0% of students know where to get mental health support,63.0,63.0% of students felt happy at school
32K291,2024-25,89.0,89.0% of students know where to get mental health support,75.0,75.0% of students felt happy at school
32K347,2024-25,78.0,78.0% of students know where to get mental health support,73.0,73.0% of students felt happy at school
32K349,2024-25,80.0,80.0% of students know where to get mental health support,66.0,66.0% of students felt happy at school
32K383,2024-25,79.0,79.0% of students know where to get mental health support,76.0,76.0% of students felt happy at school
32K384,2024-25,73.0,73.0% of students know where to get mental health support,74.0,74.0% of students felt happy at school
32K403,2024-25,95.0,95.0% of students know where to get mental health support,75.0,75.0% of students felt happy at school
32K545,2024-25,82.0,82.0% of students know where to get mental health support,68.0,68.0% of students felt happy at school
32K549,2024-25,84.0,84.0% of students know where to get mental health support,69.0,69.0% of students felt happy at school
32K552,2024-25,88.0,88.0% of students know where to get mental health support,68.0,68.0% of students felt happy at school
32K554,2024-25,88.0,88.0% of students know where to get mental health support,83.0,83.0% of students felt happy at school
32K556,2024-25,85.0,85.0% of students know where to get mental health support,76.0,76.0% of students felt happy at school
32K562,2024-25,87.0,87.0% of students know where to get mental health support,79.0,79.0% of students felt happy at school
32K564,2024-25,99.0,99.0% of students know where to get mental health support,93.0,93.0% of students felt happy at school
75K036,2024-25,100.0,100.0% of students know where to get mental health support,97.0,97.0% of students felt happy at school
75K053,2024-25,94.0,94.0% of students know where to get mental health support,95.0,95.0% of students felt happy at school
75K077,2024-25,84.0,84.0% of students know where to get mental health support,87.0,87.0% of students felt happy at school
75K140,2024-25,81.0,81.0% of students know where to get mental health support,77.0,77.0% of students felt happy at school
75K141,2024-25,,Data not available,,Data not available
75K231,2024-25,100.0,100.0% of students know where to get mental health support,100.0,100.0% of students felt happy at school
75K368,2024-25,84.0,84.0% of students know where to get mental health support,88.0,88.0% of students felt happy at school
75K369,2024-25,83.0,83.0% of students know where to get mental health support,80.0,80.0% of students felt happy at school
75K370,2024-25,100.0,100.0% of students know where to get mental health support,87.0,87.0% of students felt happy at school
75K371,2024-25,91.0,91.0% of students know where to get mental health support,82.0,82.0% of students felt happy at school
