DBN,school_year,core_school,level,grade_served,school_type,cohort,year_partnership_began,social_work_program,community_school_program,community_school_program_status,arts_program,arts_program_type,ost_program,ost_program_type,food_pantry,laundry,sw_caseload_students,students_individual_contacts,number_individual_contacts,students_group_contacts,number_group_contacts,total_students_served_sw,total_contacts_sw,school_enrollment_pwc
14K110,2024-25,0,Elem,Prek-6,DOE,,,0,0,,1,School-Based Residency,0,,0,0,,,,,,,,
14K126,2024-25,1,Middle,2025-06-08 0:00:00,DOE,,2016,1,1,OCS MH subcontract  - St. Nick's Alliance,1,School-Based Residency; Career Development Program,0,,0,1,,,,,,,,
15K130,2024-25,0,Elem,Prek-5,DOE,,,0,0,,1,School-Based Residency,0,,0,0,,,,,,,,
16K308,2024-25,1,Elem,3K-5,DOE,,2015,1,1,,1,School-Based Residency,0,,1,0,,,,,,,,
19K557,2024-25,1,Elem,3K-5,DOE,Brownsville,2014,1,1,,0,,1,NYS Extended School Day School Violence Prevention,1,1,28,44,578,11,11,134,589,283
22K611,2024-25,1,HS,2025-09-12 0:00:00,DOE,,2014,1,1,,1,School-Based Residency; Career Development Program,0,,0,0,65,168,1204,36,259,181,1463,413
23K041,2024-25,1,Elem,K-5,DOE,Brownsville,2023,1,1,,1,School-Based Residency,0,,0,0,,,,,,,,
23K165,2024-25,1,Elem,3K-5,DOE,Brownsville,2015,1,1,,1,Student Voice & Engagement,1,NYS Extended School Day School Violence Prevention; Freedom School Summer Program,1,0,54,31,320,133,793,134,1113,149
23K284,2024-25,1,Elem,Prek-5,DOE,Brownsville,2015,1,1,,1,Student Voice & Engagement,0,,0,0,34,35,470,113,189,124,659,226
23K298,2024-25,1,Elem,3K-5,DOE,Brownsville,2015,1,1,,1,Student Voice & Engagement; School-Based Residency,0,,1,1,19,45,245,103,642,131,887,341
23K446,2024-25,1,Elem,Prek-5,DOE,Brownsville,2014,1,0,,1,Student Voice & Engagement,0,,1,1,21,26,320,43,392,52,712,255
23K668,2024-25,1,Middle,2025-06-08 0:00:00,DOE,Brownsville,2014,1,1,,0,,0,,1,0,,,,,,,,
24Q550,2024-25,0,HS,2025-09-12 0:00:00,DOE,,,0,0,,1,Career Development Program,0,,0,0,,,,,,,,
26Q495,2024-25,0,HS,2025-09-12 0:00:00,DOE,,,0,0,,1,Career Development Program,0,,0,0,,,,,,,,
27Q351,2024-25,1,HS,2025-09-12 0:00:00,DOE,,2015,1,1,,1,School-Based Residency,1,COMPASS Afterschool - Workforce Readiness,1,1,54,78,601,119,591,147,1192,302
28Q325,2024-25,0,HS,2025-09-12 0:00:00,DOE,,,0,0,,1,Career Development Program,0,,0,0,,,,,,,,
28Q620,2024-25,0,HS,2025-09-12 0:00:00,DOE,,,0,0,,1,Career Development Program,0,,0,0,,,,,,,,
30Q575,2024-25,0,HS,2025-09-12 0:00:00,DOE,,,0,0,,1,Career Development Program,0,,0,0,,,,,,,,
31R013,2024-25,0,Elem,Prek-5,DOE,,,0,0,,1,School-Based Residency,0,,0,0,,,,,,,,
31R049,2024-25,1,Middle,2025-06-08 0:00:00,DOE,,2020,1,0,,1,School-Based Residency,0,,0,0,,,,,,,,
32K556,2024-25,0,HS,2025-09-12 0:00:00,DOE,,,0,0,,1,Career Development Program,0,,0,0,,,,,,,,
75X017,2024-25,1,,2025-01-12 0:00:00,DOE D75,Morrisania,2023,1,1,,0,,0,,0,0,,,,,,,,
84X465,2024-25,1,Elem,K-5,Charter,,2023,1,0,,0,,0,,0,0,,,,,,,,
84X465,2024-25,1,Middle,2025-06-08 0:00:00,Charter,,2021,1,0,,1,School-Based Residency,0,,0,0,36,45,629,35,233,67,862,299
84X630,2024-25,0,Elem,K-5,Charter,Morrisania,2021,1,0,,1,School-Based Residency,0,,0,0,66,74,324,46,261,102,585,508
84X630,2024-25,1,Elem,K-5,Charter,Morrisania,2022,1,0,,1,School-Based Residency,0,,0,0,,,,,,,,
