DBN,school_year,chronic_absent_count,chronic_absent_rate,chronic_absent_rate_label
10X045,2018-19,257.0,34.04,34.0% of students chronically absent
10X046,2018-19,345.0,37.14,37.1% of students chronically absent
10X051,2018-19,66.0,30.7,30.7% of students chronically absent
10X054,2018-19,122.0,23.92,23.9% of students chronically absent
10X056,2018-19,179.0,25.46,25.5% of students chronically absent
10X059,2018-19,233.0,40.52,40.5% of students chronically absent
10X077,2018-19,149.0,32.6,32.6% of students chronically absent
10X080,2018-19,189.0,26.1,26.1% of students chronically absent
10X081,2018-19,164.0,20.92,20.9% of students chronically absent
10X085,2018-19,317.0,30.54,30.5% of students chronically absent
10X086,2018-19,447.0,26.17,26.2% of students chronically absent
10X091,2018-19,257.0,36.2,36.2% of students chronically absent
10X094,2018-19,539.0,41.33,41.3% of students chronically absent
10X095,2018-19,437.0,33.49,33.5% of students chronically absent
10X118,2018-19,341.0,29.58,29.6% of students chronically absent
10X141,2018-19,260.0,16.73,16.7% of students chronically absent
10X159,2018-19,76.0,37.62,37.6% of students chronically absent
10X205,2018-19,304.0,30.31,30.3% of students chronically absent
10X206,2018-19,91.0,35.27,35.3% of students chronically absent
10X207,2018-19,135.0,37.29,37.3% of students chronically absent
10X209,2018-19,60.0,21.28,21.3% of students chronically absent
10X213,2018-19,211.0,51.97,52.0% of students chronically absent
10X225,2018-19,217.0,39.6,39.6% of students chronically absent
10X226,2018-19,101.0,20.95,20.9% of students chronically absent
10X228,2018-19,5.0,1.85,1.9% of students chronically absent
10X237,2018-19,289.0,60.59,60.6% of students chronically absent
10X243,2018-19,165.0,27.09,27.1% of students chronically absent
10X244,2018-19,214.0,27.26,27.3% of students chronically absent
10X246,2018-19,230.0,31.46,31.5% of students chronically absent
10X254,2018-19,166.0,31.44,31.4% of students chronically absent
10X264,2018-19,176.0,41.51,41.5% of students chronically absent
10X268,2018-19,228.0,46.44,46.4% of students chronically absent
10X279,2018-19,241.0,22.07,22.1% of students chronically absent
10X280,2018-19,263.0,30.8,30.8% of students chronically absent
10X284,2018-19,258.0,61.43,61.4% of students chronically absent
10X291,2018-19,228.0,34.86,34.9% of students chronically absent
10X306,2018-19,210.0,29.49,29.5% of students chronically absent
