DBN,school_year,suspension_total,suspension_rate,suspension_rate_label
10X363,2020-21,0.0,0.0,0.0% of students suspended
10X368,2020-21,,,Data suppressed
10X374,2020-21,0.0,0.0,0.0% of students suspended
10X382,2020-21,0.0,,Data suppressed
10X386,2020-21,0.0,0.0,0.0% of students suspended
10X390,2020-21,0.0,0.0,0.0% of students suspended
10X391,2020-21,0.0,0.0,0.0% of students suspended
10X396,2020-21,0.0,0.0,0.0% of students suspended
10X397,2020-21,0.0,0.0,0.0% of students suspended
10X433,2020-21,0.0,0.0,0.0% of students suspended
10X434,2020-21,0.0,0.0,0.0% of students suspended
10X437,2020-21,0.0,0.0,0.0% of students suspended
10X438,2020-21,0.0,0.0,0.0% of students suspended
10X439,2020-21,0.0,0.0,0.0% of students suspended
10X440,2020-21,6.0,0.62,0.6% of students suspended
10X442,2020-21,0.0,0.0,0.0% of students suspended
10X445,2020-21,0.0,0.0,0.0% of students suspended
10X447,2020-21,0.0,0.0,0.0% of students suspended
10X477,2020-21,0.0,0.0,0.0% of students suspended
10X524,2020-21,0.0,0.0,0.0% of students suspended
10X546,2020-21,0.0,0.0,0.0% of students suspended
10X549,2020-21,0.0,0.0,0.0% of students suspended
10X565,2020-21,0.0,0.0,0.0% of students suspended
10X696,2020-21,0.0,0.0,0.0% of students suspended
10X903,2020-21,0.0,,Data suppressed
10X904,2020-21,0.0,,Data suppressed
11X016,2020-21,0.0,0.0,0.0% of students suspended
11X019,2020-21,0.0,0.0,0.0% of students suspended
