DBN,school_year,school_type,safety_climate_rating,safety_climate_rating_label,safety_pct_positive,safety_pct_positive_label
08X392,2020-21,EMS,,Rating not available,,Data not available
08X424,2020-21,EMS,,Rating not available,,Data not available
08X448,2020-21,EMS,,Rating not available,,Data not available
08X467,2020-21,EMS,,Rating not available,,Data not available
08X562,2020-21,EMS,,Rating not available,,Data not available
09X004,2020-21,EMS,,Rating not available,,Data not available
09X011,2020-21,EMS,,Rating not available,,Data not available
09X022,2020-21,EMS,,Rating not available,,Data not available
09X028,2020-21,EMS,,Rating not available,,Data not available
09X035,2020-21,EMS,,Rating not available,,Data not available
09X042,2020-21,EMS,,Rating not available,,Data not available
09X053,2020-21,EMS,,Rating not available,,Data not available
09X055,2020-21,EMS,,Rating not available,,Data not available
09X058,2020-21,EMS,,Rating not available,,Data not available
09X063,2020-21,EMS,,Rating not available,,Data not available
09X070,2020-21,EMS,,Rating not available,,Data not available
09X073,2020-21,EMS,,Rating not available,,Data not available
09X109,2020-21,EMS,,Rating not available,,Data not available
09X110,2020-21,EMS,,Rating not available,,Data not available
09X114,2020-21,EMS,,Rating not available,,Data not available
09X117,2020-21,EMS,,Rating not available,,Data not available
09X126,2020-21,EMS,,Rating not available,,Data not available
09X128,2020-21,EMS,,Rating not available,,Data not available
09X132,2020-21,EMS,,Rating not available,,Data not available
09X163,2020-21,EMS,,Rating not available,,Data not available
09X199,2020-21,EMS,,Rating not available,,Data not available
09X204,2020-21,EMS,,Rating not available,,Data not available
09X215,2020-21,EMS,,Rating not available,,Data not available
09X218,2020-21,EMS,,Rating not available,,Data not available
09X219,2020-21,EMS,,Rating not available,,Data not available
09X229,2020-21,EMS,,Rating not available,,Data not available
09X231,2020-21,EMS,,Rating not available,,Data not available
09X232,2020-21,EMS,,Rating not available,,Data not available
09X236,2020-21,EMS,,Rating not available,,Data not available
09X241,2020-21,EMS,,Rating not available,,Data not available
09X274,2020-21,EMS,,Rating not available,,Data not available
09X294,2020-21,EMS,,Rating not available,,Data not available
09X303,2020-21,EMS,,Rating not available,,Data not available
09X311,2020-21,EMS,,Rating not available,,Data not available
09X313,2020-21,EMS,,Rating not available,,Data not available
09X323,2020-21,EMS,,Rating not available,,Data not available
09X324,2020-21,EMS,,Rating not available,,Data not available
09X327,2020-21,EMS,,Rating not available,,Data not available
09X328,2020-21,EMS,,Rating not available,,Data not available
09X339,2020-21,EMS,,Rating not available,,Data not available
09X361,2020-21,EMS,,Rating not available,,Data not available
09X413,2020-21,EMS,,Rating not available,,Data not available
09X443,2020-21,EMS,,Rating not available,,Data not available
09X449,2020-21,EMS,,Rating not available,,Data not available
09X454,2020-21,EMS,,Rating not available,,Data not available
09X457,2020-21,EMS,,Rating not available,,Data not available
09X505,2020-21,EMS,,Rating not available,,Data not available
09X555,2020-21,EMS,,Rating not available,,Data not available
09X568,2020-21,EMS,,Rating not available,,Data not available
09X593,2020-21,EMS,,Rating not available,,Data not available
09X594,2020-21,EMS,,Rating not available,,Data not available
10X003,2020-21,EMS,,Rating not available,,Data not available
10X007,2020-21,EMS,,Rating not available,,Data not available
10X008,2020-21,EMS,,Rating not available,,Data not available
10X009,2020-21,EMS,,Rating not available,,Data not available
10X015,2020-21,EMS,,Rating not available,,Data not available
10X020,2020-21,EMS,,Rating not available,,Data not available
10X023,2020-21,EMS,,Rating not available,,Data not available
10X024,2020-21,EMS,,Rating not available,,Data not available
10X032,2020-21,EMS,,Rating not available,,Data not available
10X033,2020-21,EMS,,Rating not available,,Data not available
10X037,2020-21,EMS,,Rating not available,,Data not available
10X045,2020-21,EMS,,Rating not available,,Data not available
10X046,2020-21,EMS,,Rating not available,,Data not available
10X051,2020-21,EMS,,Rating not available,,Data not available
10X054,2020-21,EMS,,Rating not available,,Data not available
10X056,2020-21,EMS,,Rating not available,,Data not available
10X059,2020-21,EMS,,Rating not available,,Data not available
10X077,2020-21,EMS,,Rating not available,,Data not available
10X080,2020-21,EMS,,Rating not available,,Data not available
10X081,2020-21,EMS,,Rating not available,,Data not available
10X085,2020-21,EMS,,Rating not available,,Data not available
10X086,2020-21,EMS,,Rating not available,,Data not available
10X091,2020-21,EMS,,Rating not available,,Data not available
10X094,2020-21,EMS,,Rating not available,,Data not available
10X095,2020-21,EMS,,Rating not available,,Data not available
10X118,2020-21,EMS,,Rating not available,,Data not available
10X141,2020-21,EMS,,Rating not available,,Data not available
10X159,2020-21,EMS,,Rating not available,,Data not available
10X205,2020-21,EMS,,Rating not available,,Data not available
10X206,2020-21,EMS,,Rating not available,,Data not available
10X207,2020-21,EMS,,Rating not available,,Data not available
10X225,2020-21,EMS,,Rating not available,,Data not available
10X226,2020-21,EMS,,Rating not available,,Data not available
10X228,2020-21,EMS,,Rating not available,,Data not available
10X243,2020-21,EMS,,Rating not available,,Data not available
10X244,2020-21,EMS,,Rating not available,,Data not available
10X246,2020-21,EMS,,Rating not available,,Data not available
10X254,2020-21,EMS,,Rating not available,,Data not available
10X279,2020-21,EMS,,Rating not available,,Data not available
10X280,2020-21,EMS,,Rating not available,,Data not available
10X291,2020-21,EMS,,Rating not available,,Data not available
10X306,2020-21,EMS,,Rating not available,,Data not available
10X307,2020-21,EMS,,Rating not available,,Data not available
10X308,2020-21,EMS,,Rating not available,,Data not available
10X310,2020-21,EMS,,Rating not available,,Data not available
10X315,2020-21,EMS,,Rating not available,,Data not available
10X331,2020-21,EMS,,Rating not available,,Data not available
10X340,2020-21,EMS,,Rating not available,,Data not available
10X342,2020-21,EMS,,Rating not available,,Data not available
10X344,2020-21,EMS,,Rating not available,,Data not available
10X360,2020-21,EMS,,Rating not available,,Data not available
10X363,2020-21,EMS,,Rating not available,,Data not available
10X368,2020-21,EMS,,Rating not available,,Data not available
10X382,2020-21,EMS,,Rating not available,,Data not available
10X386,2020-21,EMS,,Rating not available,,Data not available
10X390,2020-21,EMS,,Rating not available,,Data not available
10X391,2020-21,EMS,,Rating not available,,Data not available
10X396,2020-21,EMS,,Rating not available,,Data not available
10X447,2020-21,EMS,,Rating not available,,Data not available
11X016,2020-21,EMS,,Rating not available,,Data not available
11X019,2020-21,EMS,,Rating not available,,Data not available
11X021,2020-21,EMS,,Rating not available,,Data not available
11X041,2020-21,EMS,,Rating not available,,Data not available
11X068,2020-21,EMS,,Rating not available,,Data not available
11X076,2020-21,EMS,,Rating not available,,Data not available
11X078,2020-21,EMS,,Rating not available,,Data not available
11X083,2020-21,EMS,,Rating not available,,Data not available
11X087,2020-21,EMS,,Rating not available,,Data not available
11X089,2020-21,EMS,,Rating not available,,Data not available
11X096,2020-21,EMS,,Rating not available,,Data not available
11X097,2020-21,EMS,,Rating not available,,Data not available
11X103,2020-21,EMS,,Rating not available,,Data not available
11X105,2020-21,EMS,,Rating not available,,Data not available
11X106,2020-21,EMS,,Rating not available,,Data not available
11X108,2020-21,EMS,,Rating not available,,Data not available
11X111,2020-21,EMS,,Rating not available,,Data not available
11X112,2020-21,EMS,,Rating not available,,Data not available
11X121,2020-21,EMS,,Rating not available,,Data not available
11X127,2020-21,EMS,,Rating not available,,Data not available
11X144,2020-21,EMS,,Rating not available,,Data not available
11X153,2020-21,EMS,,Rating not available,,Data not available
11X160,2020-21,EMS,,Rating not available,,Data not available
11X169,2020-21,EMS,,Rating not available,,Data not available
11X175,2020-21,EMS,,Rating not available,,Data not available
11X178,2020-21,EMS,,Rating not available,,Data not available
11X180,2020-21,EMS,,Rating not available,,Data not available
11X181,2020-21,EMS,,Rating not available,,Data not available
11X189,2020-21,EMS,,Rating not available,,Data not available
11X194,2020-21,EMS,,Rating not available,,Data not available
11X287,2020-21,EMS,,Rating not available,,Data not available
11X326,2020-21,EMS,,Rating not available,,Data not available
11X355,2020-21,EMS,,Rating not available,,Data not available
11X357,2020-21,EMS,,Rating not available,,Data not available
11X370,2020-21,EMS,,Rating not available,,Data not available
11X462,2020-21,EMS,,Rating not available,,Data not available
11X468,2020-21,EMS,,Rating not available,,Data not available
11X481,2020-21,EMS,,Rating not available,,Data not available
11X483,2020-21,EMS,,Rating not available,,Data not available
11X498,2020-21,EMS,,Rating not available,,Data not available
11X529,2020-21,EMS,,Rating not available,,Data not available
11X532,2020-21,EMS,,Rating not available,,Data not available
11X556,2020-21,EMS,,Rating not available,,Data not available
11X566,2020-21,EMS,,Rating not available,,Data not available
11X567,2020-21,EMS,,Rating not available,,Data not available
12X006,2020-21,EMS,,Rating not available,,Data not available
12X044,2020-21,EMS,,Rating not available,,Data not available
12X047,2020-21,EMS,,Rating not available,,Data not available
12X057,2020-21,EMS,,Rating not available,,Data not available
12X061,2020-21,EMS,,Rating not available,,Data not available
12X066,2020-21,EMS,,Rating not available,,Data not available
12X067,2020-21,EMS,,Rating not available,,Data not available
12X098,2020-21,EMS,,Rating not available,,Data not available
12X129,2020-21,EMS,,Rating not available,,Data not available
12X134,2020-21,EMS,,Rating not available,,Data not available
12X150,2020-21,EMS,,Rating not available,,Data not available
12X190,2020-21,EMS,,Rating not available,,Data not available
12X195,2020-21,EMS,,Rating not available,,Data not available
