DBN,school_year,arts_ed_score,arts_ed_score_label,arts_ed_disciplines
17K382,2020-21,4,4 of 4 disciplines,"Dance, Music, Theater, Visual Arts"
17K397,2020-21,3,3 of 4 disciplines,"Dance, Music, Visual Arts"
17K398,2020-21,4,4 of 4 disciplines,"Dance, Music, Theater, Visual Arts"
17K399,2020-21,4,4 of 4 disciplines,"Dance, Music, Theater, Visual Arts"
17K408,2020-21,4,4 of 4 disciplines,"Dance, Music, Theater, Visual Arts"
17K484,2020-21,4,4 of 4 disciplines,"Dance, Music, Theater, Visual Arts"
17K524,2020-21,4,4 of 4 disciplines,"Dance, Music, Theater, Visual Arts"
17K532,2020-21,4,4 of 4 disciplines,"Dance, Music, Theater, Visual Arts"
17K543,2020-21,4,4 of 4 disciplines,"Dance, Music, Theater, Visual Arts"
17K546,2020-21,4,4 of 4 disciplines,"Dance, Music, Theater, Visual Arts"
17K547,2020-21,4,4 of 4 disciplines,"Dance, Music, Theater, Visual Arts"
17K568,2020-21,4,4 of 4 disciplines,"Dance, Music, Theater, Visual Arts"
17K590,2020-21,4,4 of 4 disciplines,"Dance, Music, Theater, Visual Arts"
17K600,2020-21,4,4 of 4 disciplines,"Dance, Music, Theater, Visual Arts"
17K646,2020-21,4,4 of 4 disciplines,"Dance, Music, Theater, Visual Arts"
17K705,2020-21,4,4 of 4 disciplines,"Dance, Music, Theater, Visual Arts"
17K722,2020-21,4,4 of 4 disciplines,"Dance, Music, Theater, Visual Arts"
17K745,2020-21,4,4 of 4 disciplines,"Dance, Music, Theater, Visual Arts"
18K066,2020-21,4,4 of 4 disciplines,"Dance, Music, Theater, Visual Arts"
18K068,2020-21,4,4 of 4 disciplines,"Dance, Music, Theater, Visual Arts"
18K114,2020-21,4,4 of 4 disciplines,"Dance, Music, Theater, Visual Arts"
18K115,2020-21,4,4 of 4 disciplines,"Dance, Music, Theater, Visual Arts"
18K135,2020-21,1,1 of 4 discipline,Dance
18K211,2020-21,4,4 of 4 disciplines,"Dance, Music, Theater, Visual Arts"
18K219,2020-21,3,3 of 4 disciplines,"Dance, Music, Visual Arts"
18K235,2020-21,4,4 of 4 disciplines,"Dance, Music, Theater, Visual Arts"
18K244,2020-21,0,0 of 4 disciplines,
18K272,2020-21,4,4 of 4 disciplines,"Dance, Music, Theater, Visual Arts"
18K276,2020-21,4,4 of 4 disciplines,"Dance, Music, Theater, Visual Arts"
18K279,2020-21,3,3 of 4 disciplines,"Dance, Music, Visual Arts"
18K285,2020-21,4,4 of 4 disciplines,"Dance, Music, Theater, Visual Arts"
18K563,2020-21,4,4 of 4 disciplines,"Dance, Music, Theater, Visual Arts"
18K567,2020-21,4,4 of 4 disciplines,"Dance, Music, Theater, Visual Arts"
18K576,2020-21,4,4 of 4 disciplines,"Dance, Music, Theater, Visual Arts"
18K617,2020-21,4,4 of 4 disciplines,"Dance, Music, Theater, Visual Arts"
18K629,2020-21,4,4 of 4 disciplines,"Dance, Music, Theater, Visual Arts"
18K633,2020-21,4,4 of 4 disciplines,"Dance, Music, Theater, Visual Arts"
18K635,2020-21,4,4 of 4 disciplines,"Dance, Music, Theater, Visual Arts"
